session_id,pred_tactics,true_tactics,metrics
bbf88432c18d,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['COMMAND_AND_CONTROL', 'EXECUTION', 'DISCOVERY', 'INITIAL_ACCESS']","{'execution_precision': 1.0, 'execution_recall': 1.0, 'execution_f1_score': 1.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'persistence_precision': 0.0, 'persistence_recall': 0.0, 'persistence_f1_score': 0.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
7c11fabcf3c3,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['PERSISTENCE', 'INITIAL_ACCESS', 'COMMAND_AND_CONTROL', 'DISCOVERY']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
881c9161cb07,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
66f6224b14da,"['INITIAL_ACCESS', 'EXECUTION', 'COMMAND_AND_CONTROL', 'IMPACT']","['EXECUTION', 'INITIAL_ACCESS', 'DISCOVERY', 'EXFILTRATION', 'COMMAND_AND_CONTROL']","{'execution_precision': 1.0, 'execution_recall': 1.0, 'execution_f1_score': 1.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'exfiltration_precision': 0.0, 'exfiltration_recall': 0.0, 'exfiltration_f1_score': 0.0, 'command_and_control_precision': 1.0, 'command_and_control_recall': 1.0, 'command_and_control_f1_score': 1.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0}"
6ddc5979837e,"['INITIAL_ACCESS', 'EXECUTION', 'DEFENSE_EVASION']","['PERSISTENCE', 'EXECUTION', 'COMMAND_AND_CONTROL', 'INITIAL_ACCESS']","{'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'execution_precision': 1.0, 'execution_recall': 1.0, 'execution_f1_score': 1.0, 'defense_evasion_precision': 0.0, 'defense_evasion_recall': 0.0, 'defense_evasion_f1_score': 0.0, 'persistence_precision': 0.0, 'persistence_recall': 0.0, 'persistence_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0}"
2b8e35f38143,"['INITIAL_ACCESS', 'EXECUTION', 'DISCOVERY']","['COMMAND_AND_CONTROL', 'INITIAL_ACCESS']","{'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0}"
8f2e06ac7276,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
67bb5cb6f4a7,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
b2dbab36a2a2,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
cea175b69487,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
01c327cb33dd,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['COMMAND_AND_CONTROL', 'INITIAL_ACCESS', 'DISCOVERY', 'IMPACT']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 0.0, 'persistence_recall': 0.0, 'persistence_f1_score': 0.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
bd2fcde9322f,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
a4dc0b13013f,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['COMMAND_AND_CONTROL', 'INITIAL_ACCESS', 'DISCOVERY', 'IMPACT']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 0.0, 'persistence_recall': 0.0, 'persistence_f1_score': 0.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
9688e0996ff3,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
d212d9aa06cc,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['PERSISTENCE', 'INITIAL_ACCESS', 'COMMAND_AND_CONTROL', 'DISCOVERY']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
a7503b3db3ac,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
894ef205606a,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
d5ea57a98987,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
5319381ed82a,"['INITIAL_ACCESS', 'EXECUTION']","['COMMAND_AND_CONTROL', 'INITIAL_ACCESS']","{'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0}"
d5c1cd6a2b63,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
45ce212afa59,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['COMMAND_AND_CONTROL', 'INITIAL_ACCESS', 'DISCOVERY', 'IMPACT']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 0.0, 'persistence_recall': 0.0, 'persistence_f1_score': 0.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
c3c69ed4b6c3,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['COMMAND_AND_CONTROL', 'INITIAL_ACCESS', 'DISCOVERY', 'IMPACT']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 0.0, 'persistence_recall': 0.0, 'persistence_f1_score': 0.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
b1dee11cfb39,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
e727afe0e8ab,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
